structure,sensor_type,sensor1,sensor2,sync_percentage,matching_timestamps,pairing_reason,sensor1_min,sensor1_max,sensor1_mean,sensor1_std,sensor2_min,sensor2_max,sensor2_mean,sensor2_std,combined_min,combined_max,combined_mean,combined_std,correlation,matching_count
STR122,displacement,DI532,DI534,96.88668755685839,95850,"Complementary (one negative, one positive)",-469.28,469.27,-22.501940845070425,33.40129811595012,-36.55,50.46,28.353617110067812,22.95196670159864,-500.26,440.71,5.851676264997391,34.82015086513923,-0.28044762080325714,95850
STR122,tilt,TI535,TI536,96.24114633299993,94299,"Complementary (one positive, one negative)",-24.59,24.59,0.9338441552932694,1.80420866416101,-24.58,0.03,-3.873260055780019,6.314284036746108,-25.490000000000002,24.61,-2.9394159004867495,6.408981951411768,-0.08998642383736417,94299
STR122,tilt,TI535,TI538,95.33689753100144,94333,"Complementary (one positive, one negative)",-24.59,24.59,0.9336453839059503,1.803898008278022,-1.62,0.94,-1.1013936798363246,0.8303878539376007,-25.39,25.51,-0.1677482959303743,1.8931234092887674,-0.12005720222971922,94333
STR122,tilt,TI536,TI537,98.95802803521076,97916,"Complementary (one negative, one positive)",-24.58,3.46,-3.795002042567098,6.249059928524732,-2.03,1.64,1.0298966461048245,1.1012430914027287,-26.61,5.0600000000000005,-2.765105396462274,7.108234411877044,0.7457066785129185,97916
STR122,tilt,TI536,TI538,98.95802803521076,97916,Negative correlation (-0.6217),-24.58,3.46,-3.795002042567098,6.249059928524732,-1.62,0.94,-1.095858082438008,0.837001477451823,-26.2,2.0,-4.890860125005106,5.766107988003608,-0.6216761743268482,97916
STR122,tilt,TI537,TI538,100.0,98931,"Complementary (one positive, one negative)",-2.03,1.64,1.0357039754980746,1.0970686765437874,-1.62,0.94,-1.0996135690531785,0.8335148130438832,-1.13,0.28,-0.06390959355510403,0.3561266413086788,-0.9686329269199543,98931
STR124,displacement,DI539,DI540,99.99770225867972,43520,"Complementary (one negative, one positive)",-68.09,-50.45,-62.57340716911764,3.235958543199453,2.24,21.31,14.091689338235296,4.482866795707316,-61.77,-29.200000000000003,-48.48171783088235,6.7001381516057075,0.4937254377739451,43520
STR124,tilt,TI541,TI542,99.17991935118481,43780,"Complementary (one negative, one positive)",-24.07,24.07,-1.2497875742348106,2.086904404927214,-1.19,1.11,0.08584422110552763,0.5544829789013513,-25.240000000000002,22.9,-1.1639433531292829,1.9624770193611174,-0.3505609620851115,43780
STR124,tilt,TI541,TI544,99.17765393502786,43779,Negative correlation (-0.6126),-24.07,24.07,-1.2497962493432926,2.08692745047097,-26.48,0.25,-2.568118732725736,3.03880755493095,-50.55,-0.63,-3.8179149820690284,2.412477255684613,-0.6125710900768121,43779
STR124,tilt,TI542,TI543,99.76213130352045,44037,"Complementary (one positive, one negative)",-1.19,1.11,0.0785528078661126,0.5609944728640438,-26.34,26.34,-1.1786956423007926,1.3326501590782802,-27.48,25.2,-1.10014283443468,1.1675968894165516,-0.4864764773417978,44037
STR124,tilt,TI542,TI544,99.99773458384306,44141,"Complementary (one positive, one negative)",-1.19,1.11,0.07568360481185296,0.5634292394493235,-26.48,0.25,-2.7642198862735325,3.716102258544896,-27.67,-0.9099999999999999,-2.6885362814616793,3.918524110382731,0.2932433295403745,44141
STR128,displacement,DI549,DI550,100.0,43809,"Complementary (one positive, one negative)",48.4,57.35,52.28711657421991,2.046595730775306,-53.5,-34.3,-41.02397041703759,3.6908770869737997,-3.969999999999999,21.82,11.263146157182314,5.191996866036153,0.6053763980422129,43809
STR129,displacement,DI555,DI556,97.38030888030889,100886,"Complementary (one negative, one positive)",-59.63,70.61,-22.79223658386694,19.441037803066454,-464.5,464.48,6.324402791269353,14.87418811837745,-419.11,526.72,-16.467833792597588,19.738093272918338,-0.36242236080838414,100886
STR178,displacement,DI606,DI607,98.06035594531855,38018,"Complementary (one negative, one positive)",-46.11,349.63,-7.738959440265138,30.272590962285708,-349.08,53.46,6.901469830080488,41.02982161223835,-387.30999999999995,147.58,-0.8374896101846494,26.261704144824126,-0.7689522606311756,38018
